"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Access Tunnel","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","294","False","False",""
"1","1","Along the Crooked Way","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","60","False","False","0.32"
"1","1","Anger","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","210","False","False",""
"1","1","Anguished Unmaking","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","265","False","False",""
"1","1","Aragorn, King of Gondor","ltc","Near Mint","English","foil","","2026-01-08 22:02:53.547000","5","False","False",""
"1","1","Arbor Elf","ltc","Near Mint","English","","","2026-01-09 20:24:20.190000","232","False","False",""
"1","1","Arcane Denial","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","184","False","False",""
"4","4","Arcane Signet","ltc","Near Mint","English","","","2026-01-09 20:24:20.190000","273","False","False",""
"1","1","Archivist of Gondor","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","18","False","False",""
"1","1","Arwen, Weaver of Hope","ltc","Near Mint","English","","","2026-01-09 20:24:20.190000","35","False","False",""
"1","1","Asceticism","ltc","Near Mint","English","","","2026-01-09 20:24:20.190000","233","False","False",""
"2","2","Ash Barrens","ltc","Near Mint","English","","","2026-01-09 20:24:20.190000","295","False","False",""
"1","1","Assemble the Entmoot","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","36","False","False",""
"3","3","Attercop","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","116","False","False","0.69"
"1","1","Bag End Banquet","hoc","Near Mint","English","foil","","2026-08-21 17:14:20.703000","5","False","False","12.70"
"1","1","Balin, Loremaster","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","87","False","False","0.36"
"1","1","Banishing Light","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","161","False","False",""
"1","1","Banquet Guests","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","47","False","False",""
"1","1","Bard's Company","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","210","False","False","0.70"
"1","1","Bard's Company","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","146","False","False","0.38"
"1","1","Basalt Monolith","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","274","False","False",""
"1","1","Bastion Protector","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","162","False","False",""
"1","1","Battlefield Forge","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","296","False","False",""
"1","1","Beast Within","ltc","Near Mint","English","","","2026-01-09 20:24:20.190000","234","False","False",""
"1","1","Bejeweled Warg","hob","Near Mint","English","foil","","2026-08-21 17:14:20.703000","117","False","False","0.98"
"1","1","Belladonna Took","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","4","False","False","2.35"
"1","1","Belladonna Took","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","214","False","False","4.25"
"6","6","Beorn, Reluctant Host // Till and Tend","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","118","False","False","0.27"
"1","1","Beorn's Hospitality","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","120","False","False","0.32"
"1","1","Beregond of the Guard","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","9","False","False",""
"3","3","Bilbo Baggins, Burglar // Take a Glance","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","34","False","False","0.28"
"1","1","Bilbo, Birthday Celebrant","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","48","False","False",""
"1","1","Bilbo, Fellow Conspirator","hoc","Near Mint","English","foil","","2026-08-21 17:14:20.703000","4","False","False","15.75"
"1","1","Bilbo, Luckwearer // Burglar's Plot","hob","Near Mint","English","foil","","2026-08-21 17:14:20.703000","32","False","False","0.67"
"1","1","Bilbo, Luckwearer // Burglar's Plot","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","218","False","False","0.36"
"4","4","Bilbo's Deadly Slice","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","62","False","False","0.24"
"1","1","Birds of Paradise","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","235","False","False",""
"1","1","Bitter Downfall","ltr","Near Mint","English","","","2026-01-09 20:21:14.473000","77","False","False",""
"1","1","Blasphemous Act","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","211","False","False",""
"1","1","Bolg of the North","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","148","False","False","0.29"
"1","1","Bolg of the North","hob","Near Mint","English","foil","","2026-08-21 17:14:20.703000","148","False","False","0.30"
"1","1","Bolg's Company","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","149","False","False","0.49"
"1","1","Bombur, Gentle Dreamer","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","88","False","False","0.30"
"2","2","Book of Mazarbul","ltr","Near Mint","English","","","2026-05-01 18:02:48.200000","116","False","False",""
"1","1","Boon of the Wish-Giver","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","185","False","False",""
"1","1","Boromir, Gondor's Hope","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","49","False","False",""
"3","3","Bothersome Noisemaker","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","89","False","False","0.28"
"5","5","Boughside Wanderers","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","121","False","False","0.31"
"1","1","Brushland","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","297","False","False",""
"1","1","Burn, Burn, Tree and Fern","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","90","False","False","0.35"
"1","1","Butterbur, Bree Innkeeper","ltr","Near Mint","English","","","2026-01-09 20:19:18.823000","197","False","False",""
"1","1","Call for Aid","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","30","False","False",""
"1","1","Call for Unity","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","163","False","False",""
"1","1","Canopy Vista","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","298","False","False",""
"1","1","Cavern-Hoard Dragon","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","31","False","False",""
"1","1","Celeborn the Wise","ltr","Near Mint","English","","","2026-01-09 20:24:20.190000","156","False","False",""
"1","1","Champions of Minas Tirith","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","10","False","False",""
"1","1","Chief Warg's Company","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","151","False","False","0.42"
"1","1","Choked Estuary","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","299","False","False",""
"1","1","Chromatic Lantern","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","275","False","False",""
"1","1","Círdan the Shipwright","ltc","Near Mint","English","","","2026-01-09 20:24:20.190000","50","False","False",""
"1","1","Clifftop Retreat","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","300","False","False",""
"1","1","Colossal Whale","ltc","Near Mint","English","","","2026-01-09 20:24:20.190000","186","False","False",""
"1","1","Combat Celebrant","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","212","False","False",""
"4","4","Command Tower","ltc","Near Mint","English","","","2026-01-09 20:24:20.190000","301","False","False",""
"4","4","Commander's Sphere","ltc","Near Mint","English","","","2026-01-09 20:24:20.190000","276","False","False",""
"4","4","Confusticate and Bebother","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","35","False","False","0.45"
"1","1","Consider","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","187","False","False",""
"1","1","Corsairs of Umbar","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","19","False","False",""
"1","1","Court of Ire","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","213","False","False",""
"1","1","Crown of Gondor","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","75","False","False",""
"1","1","Crude Bent Blade","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","63","False","False","0.25"
"1","1","Crumbling Necropolis","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","302","False","False",""
"1","1","Crypt Incursion","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","198","False","False",""
"2","2","Cultivate","ltc","Near Mint","English","","","2026-01-09 20:24:20.190000","236","False","False",""
"1","1","Dáin Ironfoot","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","91","False","False","0.33"
"2","2","Dáin, Lord of the Iron Hills","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","8","False","False","0.40"
"1","1","Dawn of Hope","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","164","False","False",""
"1","1","Dearly Departed","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","165","False","False",""
"1","1","Decree of Pain","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","199","False","False",""
"1","1","Deep Analysis","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","188","False","False",""
"1","1","Denethor, Stone Seer","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","20","False","False",""
"1","1","Desert Were-Worm","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","92","False","False","0.55"
"1","1","Desolate Lighthouse","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","303","False","False",""
"1","1","Desolation Prowler","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","64","False","False","0.29"
"1","1","Devastation Tide","ltc","Near Mint","English","","","2026-01-09 20:24:20.190000","189","False","False",""
"1","1","Door of Destinies","ltc","Near Mint","English","","","2026-01-08 22:02:53.547000","277","False","False",""
"3","3","Dori, Bearer of Friends","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","94","False","False","0.30"
"1","1","Down in the Valley","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","124","False","False","0.47"
"1","1","Dragonskull Summit","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","304","False","False",""
"1","1","Dreaded Bat-Cloud","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","206","False","False","0.38"
"3","3","Dreaded Bat-Cloud","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","66","False","False","0.30"
"1","1","Drowned Catacomb","ltc","Near Mint","English","","","2026-01-09 20:21:14.473000","305","False","False",""
"1","1","Dusk // Dawn","ltc","Near Mint","English","","","2026-01-09 20:19:18.823000","166","False","False",""
"2","2","Duskwatch Hunter","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","153","False","False","0.33"
"1","1","Dwalin, Weaponmaster","hob","Near Mint","English","foil","","2026-08-21 17:14:20.703000","154","False","False","1.60"
"3","3","Dwarven Mattock","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","172","False","False","0.30"
"2","2","Dwarven Mauler","hob","Near Mint","English","","","2026-08-21 17:14:20.703000","95","False","False","0.32"
